time,sex,position,population
2014,Female,Breast,48158
2014,Female,Larynx,503
2014,Female,Liver,1199
2014,Female,Myeloma,2329
2014,Male,Breast,446
2014,Male,Larynx,1885
2014,Male,Liver,3868
2014,Male,Myeloma,2836
2015,Male,Breast,481
2015,Female,Breast,48612
2015,Male,Larynx,1825
2015,Female,Larynx,502
2015,Male,Liver,3975
2015,Female,Liver,1175
2015,Male,Myeloma,2816
2015,Female,Myeloma,2326
2016,Male,Breast,427
2016,Female,Breast,48619
2016,Male,Larynx,1784
2016,Female,Larynx,481
2016,Male,Liver,3998
2016,Female,Liver,1205
2016,Male,Myeloma,2987
2016,Female,Myeloma,2421
2017,Male,Breast,486
2017,Female,Breast,49249
2017,Male,Larynx,1736
2017,Female,Larynx,476
2017,Male,Liver,3937
2017,Female,Liver,1206
2017,Male,Myeloma,2965
2017,Female,Myeloma,2356
2018,Male,Breast,480
2018,Female,Breast,48879
2018,Male,Larynx,1689
2018,Female,Larynx,484
2018,Male,Liver,3603
2018,Female,Liver,1129
2018,Male,Myeloma,2819
2018,Female,Myeloma,2280
2013,Male,Breast,452
2013,Female,Breast,47413
2013,Male,Larynx,1929
2013,Female,Larynx,499
2013,Male,Liver,3689
2013,Female,Liver,1264
2013,Male,Myeloma,2769
2013,Female,Myeloma,2250
2012,Male,Breast,466
2012,Female,Breast,45691
2012,Male,Larynx,1816
2012,Female,Larynx,511
2012,Male,Liver,3711
2012,Female,Liver,1149
2012,Male,Myeloma,2638
2012,Female,Myeloma,2150
2011,Male,Breast,420
2011,Female,Breast,45630
2011,Male,Larynx,1858
2011,Female,Larynx,502
2011,Male,Liver,3442
2011,Female,Liver,1076
2011,Male,Myeloma,2577
2011,Female,Myeloma,2209
2010,Male,Breast,427
2010,Female,Breast,43793
2010,Male,Larynx,1884
2010,Female,Larynx,502
2010,Male,Liver,3299
2010,Female,Liver,1006
2010,Male,Myeloma,2457
2010,Female,Myeloma,2101
2009,Male,Breast,378
2009,Female,Breast,45013
2009,Male,Larynx,1870
2009,Female,Larynx,556
2009,Male,Liver,3306
2009,Female,Liver,1153
2009,Male,Myeloma,2421
2009,Female,Myeloma,2047
